2025-04-12 00:08:15.807 [info] Extension host with pid 1189 started
2025-04-12 00:08:15.821 [info] Lock '/home/student/.vscode-server/data/User/workspaceStorage/255174b9c84437907369f27ac92b5bdb/vscode.lock': Lock acquired.
2025-04-12 00:08:16.038 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-04-12 00:08:16.040 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-04-12 00:08:16.210 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-04-12 00:08:16.210 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-04-12 00:08:16.623 [info] Eager extensions activated
2025-04-12 00:08:16.624 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-04-12 00:08:16.624 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-04-12 00:09:59.306 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2025-04-12 00:10:05.105 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-12 00:10:05.105 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-12 00:10:05.106 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
